t (s)	Tilt up/down (deg)	Tilt left/right (deg)
0.502082083	-1.629461604	-3.395319886
1.005325083	-1.575225454	-3.468878755
1.508568083	-1.414207741	-3.27732084
2.011811083	-1.306350215	-3.253828135
2.515053083	-1.13499395	-3.420256064
3.018296	-0.795244966	-3.594426434
3.521538	-0.264009034	-3.714289291
4.024781	0.744126842	-3.893574279
4.528023	1.458271903	-3.728146354
5.03126475	2.697710147	-3.130045728
5.53450675	4.571938644	-2.60786273
6.540995875	7.181491869	-1.722579717
7.044232583	8.264304357	-1.318645349
7.547474583	9.481272054	-1.241572172
8.050716833	11.07854057	-1.251283812
8.553958833	12.35195233	-1.425592594
9.057202125	13.40141856	-1.773141534
9.560444125	14.53541482	-2.072345203
10.06369071	16.3316727	-2.235521703
10.56693371	18.40995399	-1.37892657
11.07017358	20.1249419	-1.762702626
11.57341758	21.7053002	-2.079508994
12.57990446	24.12164059	-1.904613899
13.08314862	25.42635624	-1.630107556
13.58639263	26.63565194	-1.801429443
14.08964058	27.7253977	-1.578319982
14.59288158	29.03717354	-1.099201231
15.09612558	30.85829138	-1.289159791
15.59937071	32.72419094	-0.967089168
16.10261471	34.14489404	-0.459912585
16.605859	35.29079535	0.112257774
17.109103	36.87546886	0.05619996
17.61234783	38.73565276	0.015128852
18.11559283	39.9539147	-0.234891426
19.122087	42.63642953	-0.791932935
19.62532812	44.19164382	-1.286848203
20.12857312	45.80544283	-1.551743966
20.631817	47.26758962	-1.417298401
21.135061	48.70680314	-1.526931796
21.63830458	49.68348328	-1.31417321
22.14154858	52.65613813	-4.87220413
22.64479225	54.51714596	-5.102685542
23.14803625	56.23888325	-4.882663185
23.65128246	57.72115861	-4.381429777
24.15452546	59.42218024	-3.943621219
25.16100846	61.43764256	-4.535616016
25.66425096	62.62152825	-4.513445811
26.16749396	63.3561682	-4.54932307
26.67073696	64.54472169	-4.122242189
27.17397996	65.70906332	-4.465984131
27.67722233	67.09947833	-4.372799166
28.18046533	68.75313351	-4.227001365
28.68370708	70.47573534	-4.184214569
29.18695008	72.19493842	-4.752882344
29.69019158	73.23317186	-5.078610499
30.19343358	74.34127626	-5.615198808
31.19991775	76.45393442	-7.29956987
31.70316013	77.36575941	-8.36037441
32.20640213	78.29990077	-10.58770398
32.70964725	79.46391801	-12.63269963
33.21288925	80.32454191	-13.28739159
33.71612912	81.10396991	-14.19717426
34.21937112	82.15919063	-15.79484484
34.72261321	83.14487874	-19.27008629
35.22585621	83.96862825	-21.85627978
35.72910008	84.48516629	-25.38163651
36.23234308	85.58050514	-32.45643637
36.73558783	86.65389522	-38.40322367
37.74207846	89.10636737	-73.00980158
38.24532246	90.54346258	-101.3230233
38.74856362	91.61689423	-121.3019776
39.25180863	93.25311076	-140.2661799
39.75505208	93.97990689	-146.6392133
40.25829708	93.85256226	-146.5902106
40.76154558	93.73318051	-146.7854554
